,,draw,loss,win
views,min,13782.0,7596.0,5470.0
views,max,1253145.0,4040072.0,3437673.0
views,mean,206487.02325581395,450734.4022988506,285913.3043478261
views,median,97953.0,156798.0,125203.5
likes,min,0.0,136.0,0.0
likes,max,30783.0,81430.0,93013.0
likes,mean,4296.441860465116,8936.505747126437,6918.159420289855
likes,median,1873.0,2819.0,2759.5
comments,min,33.0,27.0,6.0
comments,max,6597.0,17240.0,11511.0
comments,mean,928.1860465116279,1898.1724137931035,1024.6304347826087
comments,median,447.0,585.0,480.0
